Respondent ,Gender ,Education ,Occupation ,Age ,Online shopping frequency ( self perception ),I prefer online shopping because it is time saving ,I prefer online shopping because it leads to less direct face to face interaction ,I prefer online shopping of convenience of delivery and online checking ,I prefer online shopping because availability of a variety of Goods ,I prefer online shopping because there is no hassle of parking ,I prefer online shopping because there is easy exchange or return of goods process available ,I prefer e shopping because there is customer help available easily ,I like the promotional effect of e shopping ,I like various interactive features on e commerce website  ,I prefer online shopping because of great after purchase care policy ,I prefer the online shopping because easy navigation of website and discovering new products easily ,I prefer online shopping because it is very cost effective  ,I prefer online shopping because I am easily able to compare prices ,"I prefer online shopping because it may take care of additional cost of software , house installations and other related costs of purchasing  such as transport",I prefer online shopping because of nominal delivery fees,I prefer online shopping because it makes me look cool and modern ,I prefer online shopping people give good feedback,I prefer online shopping because it gives me reason to bond with other people ,I prefer online shopping because it helps me quarantine during COVID ,I prefer online shopping because it helps me follow WHO Guideline to ,COVID has prompted me buy new stuff online ,Govt Guidelines during COVID has prompted online shopping  ,COVID has substantially increased my online frequency   ,"During COVID , my experience of online sopping has improved substantially ","During COVID , my online shopping expenditure has increased considerably ",I like buying online to feel happy ( online retail therapy)
Customer 257,Female,High School,Housewife,30-39,Normally,2,1,4,5,2,5,2,2,2,3,4,4,4,2,3,2,2,1,4,4,2,3,2,2,1,1
Customer 258,Female,Under Graduate,Student,19-29,Normally,4,2,5,5,4,4,2,3,4,4,5,5,5,4,2,3,4,3,5,3,5,4,5,4,4,2
Customer 259,Male,Under Graduate,Student,19-29,Normally,2,1,2,4,4,2,3,4,4,2,4,4,4,4,4,1,2,1,1,1,1,1,1,1,1,2
Customer 260,Female,Post Graduate,Student,19-29,Normally,3,3,4,4,4,4,3,3,4,3,4,4,4,4,4,2,3,2,3,3,4,3,4,4,4,4
Customer 261,Female,Under Graduate,Student,19-29,Very Often,4,2,4,5,3,4,3,4,5,4,4,3,4,2,2,1,3,1,3,4,2,3,4,4,4,4
Customer 262,Female,Post Graduate,Professionally employed,19-29,Normally,4,2,4,5,2,2,3,4,4,3,4,5,4,4,2,2,3,2,4,3,4,4,2,4,2,2
Customer 263,Female,Under Graduate,Student,19-29,Normally,3,4,4,4,3,4,3,4,3,3,4,4,4,4,3,2,2,2,4,3,4,4,4,4,4,5
Customer 264,Female,Under Graduate,Student,19-29,Normally,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Customer 265,Female,High School,Student,19-29,Very Often,2,4,3,3,3,3,3,3,4,2,4,4,4,2,3,3,3,3,3,3,4,2,2,2,2,3
Customer 266,Male,Under Graduate,Business,40- 49,Very Often,5,5,5,5,4,3,4,3,4,3,4,3,4,4,2,3,3,3,4,4,3,3,4,4,3,3
Customer 267,Male,Under Graduate,Student,19-29,Normally,3,1,5,5,2,1,3,5,4,2,4,4,4,4,4,4,3,1,4,2,1,2,4,4,4,4
Customer 268,Male,Post Graduate,Business,30-39,Normally,5,2,4,3,2,4,4,3,3,3,3,4,4,4,4,2,2,2,4,4,3,4,3,4,3,2
Customer 269,Male,Under Graduate,Student,19-29,Regularly,4,2,5,4,3,4,4,3,4,4,5,5,5,2,2,1,2,2,4,2,4,1,4,5,4,2
Customer 270,Female,Under Graduate,Student,19-29,Normally,5,1,1,3,5,3,3,3,5,3,4,3,5,4,4,1,2,1,4,3,1,4,5,5,5,5
Customer 271,Female,Post Graduate,Housewife,40- 49,Extremely rare,2,4,4,5,5,5,4,4,3,3,4,4,4,3,4,2,4,2,3,3,3,4,4,3,4,3
Customer 272,Male,Under Graduate,Student,Less than 18,Rarely,3,4,4,4,3,3,4,3,4,4,4,3,5,3,4,4,3,2,4,4,4,4,4,4,4,3
Customer 273,Male,Under Graduate,Student,19-29,Very Often,5,3,5,5,1,5,4,4,3,3,5,3,5,3,1,2,3,1,1,1,3,2,4,3,4,3
Customer 274,Female,High School,Housewife,30-39,Normally,5,2,5,5,1,5,4,4,5,3,5,3,5,2,3,2,2,2,2,2,4,3,4,4,4,4
Customer 275,Female,Post Graduate,Student,19-29,Regularly,4,4,3,4,4,3,4,4,2,3,4,3,4,3,2,4,3,4,4,3,2,3,3,4,4,4
Customer 276,Male,Under Graduate,Student,19-29,Very Often,5,1,5,5,3,5,4,4,4,4,5,4,5,4,4,2,2,2,3,3,4,4,4,5,3,3
Customer 277,Female,Post Graduate,Professionally employed,30-39,Normally,5,3,3,3,5,3,3,5,3,4,3,3,5,2,3,3,5,3,2,4,5,2,4,2,3,3
Customer 278,Male,Post Graduate,Professionally employed,50 and above,Normally,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,2,2,2,2,4
Customer 279,Male,Under Graduate,Student,19-29,Regularly,5,3,5,5,4,5,3,4,4,2,5,4,5,5,3,2,5,2,4,4,3,3,4,4,4,4
Customer 280,Male,Under Graduate,Student,19-29,Regularly,4,3,4,5,3,5,5,2,4,4,5,2,3,2,2,2,4,2,3,2,5,4,3,4,5,3
Customer 281,Male,Under Graduate,Student,19-29,Regularly,4,1,5,4,3,4,4,5,4,4,4,3,5,4,4,3,4,2,4,4,4,4,4,3,4,4
Customer 282,Female,Post Graduate,Others,40- 49,Normally,3,2,2,4,5,4,4,3,3,3,4,4,4,3,5,2,4,4,4,4,4,4,4,4,4,4
Customer 283,Male,Under Graduate,Student,19-29,Normally,4,4,4,5,4,5,3,3,4,4,5,5,5,3,4,4,3,2,2,2,3,3,4,3,4,4
Customer 284,Male,Under Graduate,Student,19-29,Regularly,4,1,4,5,4,3,3,4,4,4,4,4,5,3,4,3,4,3,4,3,2,4,2,3,3,2
Customer 285,Female,Post Graduate,Professionally employed,40- 49,Very Often,5,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4
Customer 286,Female,Option 5,Housewife,50 and above,Normally,4,2,4,4,3,4,3,3,3,3,3,4,3,3,3,3,4,2,4,2,4,4,4,4,4,3
Customer 287,Female,Under Graduate,Student,19-29,Normally,4,4,4,4,5,4,2,4,4,3,4,4,5,4,4,2,4,2,4,4,4,5,4,4,5,4
Customer 288,Female,Post Graduate,Housewife,40- 49,Regularly,3,2,4,3,4,4,3,3,4,2,4,3,4,4,2,3,4,2,4,3,3,4,4,3,4,3
Customer 289,Female,Post Graduate,Professionally employed,30-39,Regularly,5,4,4,4,4,5,4,3,3,3,3,3,4,4,3,2,3,2,5,4,3,3,4,4,4,3
Customer 290,Male,Post Graduate,Professionally employed,40- 49,Normally,2,2,4,4,2,3,2,4,4,3,4,5,5,4,4,2,4,3,3,3,4,4,4,4,4,3
Customer 291,Female,High School,Student,19-29,Normally,4,3,4,5,3,5,5,3,4,4,3,3,3,2,4,2,4,3,3,2,2,3,4,2,4,2
Customer 292,Female,Under Graduate,Housewife,40- 49,Regularly,2,1,4,5,4,3,3,4,3,3,5,4,5,3,3,1,1,3,4,3,5,5,5,4,3,4
Customer 293,Female,Post Graduate,Housewife,30-39,Very Often,5,4,5,4,3,5,4,4,4,3,4,4,4,3,5,4,5,2,4,2,4,5,4,5,4,4
Customer 294,Female,Post Graduate,Housewife,40- 49,Normally,4,3,4,4,5,5,3,4,4,4,3,4,4,4,2,2,3,2,5,4,4,4,3,4,3,3
Customer 295,Female,Under Graduate,Professionally employed,19-29,Normally,4,2,4,4,5,4,4,5,5,3,4,4,3,3,3,3,4,3,5,4,3,3,5,4,4,2
Customer 296,Male,Under Graduate,Student,19-29,Normally,3,1,4,5,1,4,1,1,1,4,5,3,5,1,1,1,5,1,3,3,3,4,3,3,3,1
Customer 297,Male,Under Graduate,Student,19-29,Regularly,4,3,4,5,4,5,4,4,3,3,4,1,5,4,2,2,3,2,2,3,2,4,2,4,2,3
Customer 298,Female,Under Graduate,Professionally employed,19-29,Regularly,3,4,4,5,2,4,4,3,4,2,5,5,5,3,4,5,3,4,4,4,5,5,5,5,5,5
Customer 299,Male,Under Graduate,Student,19-29,Regularly,4,3,4,5,3,4,4,3,2,2,3,4,5,3,2,1,3,1,2,2,5,5,4,4,4,1
Customer 300,Female,Under Graduate,Housewife,19-29,Normally,4,3,4,5,5,2,4,4,4,3,5,4,5,3,4,2,4,2,5,3,4,4,4,4,3,5
Customer 301,Male,Post Graduate,Student,19-29,Very Often,4,1,4,4,2,5,2,2,3,3,5,2,3,2,5,1,2,1,5,3,2,2,5,3,4,2
Customer 302,Female,Under Graduate,Student,19-29,Regularly,5,3,3,4,4,4,3,5,4,4,3,3,3,3,3,2,3,3,4,3,4,4,3,3,3,3
Customer 303,Female,High School,Student,Less than 18,Normally,3,3,4,4,3,2,3,3,3,3,4,3,4,4,3,2,3,2,4,4,3,4,4,4,4,3
Customer 304,Male,Under Graduate,Professionally employed,30-39,Normally,4,3,4,5,4,4,2,1,4,4,4,4,2,2,3,4,2,1,2,1,4,2,5,5,5,3
Customer 305,Female,Under Graduate,Housewife,30-39,Regularly,4,3,4,4,3,3,4,4,4,3,3,3,4,4,4,2,4,2,4,4,4,4,4,4,4,4
Customer 306,Male,PhD,Professionally employed,50 and above,Regularly,5,5,5,5,4,5,5,5,4,4,5,1,5,5,5,4,5,4,5,4,5,5,5,5,4,5
Customer 307,Female,Post Graduate,Professionally employed,19-29,Regularly,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5
Customer 308,Male,Option 5,Student,Less than 18,Rarely,3,4,3,4,1,3,4,2,2,2,4,3,4,2,4,4,2,1,4,3,4,5,1,2,1,4
Customer 309,Male,Post Graduate,Professionally employed,50 and above,Normally,5,5,5,5,5,5,3,3,1,3,5,5,5,5,5,1,3,1,5,5,5,5,5,5,5,1
Customer 310,Female,Post Graduate,Business,40- 49,Normally,5,4,4,4,5,4,4,3,3,4,4,3,4,4,4,4,4,4,5,4,4,4,3,4,4,3
Customer 311,Female,Under Graduate,Student,19-29,Normally,4,2,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,5,4,4,4,5,5,4,4
Customer 312,Female,Post Graduate,Housewife,40- 49,Rarely,5,5,5,5,3,1,1,1,1,3,5,5,5,3,1,1,1,1,5,5,5,5,5,3,5,1
Customer 313,Male,Post Graduate,Professionally employed,50 and above,Normally,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Customer 314,Female,Under Graduate,Professionally employed,19-29,Very Often,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,3,4,4,5
Customer 315,Female,High School,Student,Less than 18,Regularly,5,4,5,5,4,4,4,3,3,4,4,4,4,4,4,3,3,3,4,4,3,4,5,4,4,5
Customer 316,Female,Under Graduate,Student,19-29,Rarely,3,2,4,4,3,4,3,3,3,3,4,3,4,4,2,3,3,2,4,4,4,4,4,3,2,1
Customer 317,Male,Post Graduate,Professionally employed,30-39,Very Often,4,4,4,4,3,4,4,2,3,2,4,4,4,2,2,4,2,1,4,3,5,5,3,2,2,3
Customer 318,Female,Under Graduate,Student,19-29,Normally,3,3,3,4,3,4,3,4,4,4,4,4,4,3,3,2,3,3,3,4,4,4,4,4,4,3
Customer 319,Female,Under Graduate,Student,19-29,Normally,4,4,4,4,3,3,2,3,3,3,3,3,4,4,3,2,4,1,4,3,4,4,5,5,5,2
Customer 320,Male,Under Graduate,Student,19-29,Normally,4,4,2,5,4,5,5,3,5,5,5,4,5,5,5,5,1,1,3,3,5,2,2,4,2,1
Customer 321,Male,Under Graduate,Business,50 and above,Regularly,4,2,3,2,4,1,5,2,3,5,4,3,4,3,3,1,4,1,4,3,4,3,2,4,4,2
Customer 322,Female,Under Graduate,Student,19-29,Extremely rare,3,4,4,3,4,3,3,4,2,3,4,4,2,4,2,3,5,5,5,4,5,4,3,5,2,2
Customer 323,Female,Under Graduate,Student,19-29,Very Often,3,2,3,4,2,1,2,2,4,2,4,3,4,2,2,1,2,2,3,3,4,5,4,3,4,3
Customer 324,Male,Under Graduate,Student,19-29,Rarely,3,1,5,4,3,5,1,1,2,4,3,4,4,5,3,2,4,2,2,3,4,4,4,4,4,3
Customer 325,Female,Under Graduate,Student,19-29,Normally,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3
